Date : 2022-04-19 22:59:20
Directory : ./
Total : 109 files,  31085 codes, 83 comments, 827 blanks, all 31995 lines, 0.27% comment rate

Languages
+------------------+------------+------------+------------+------------+------------+--------------+
| language         | files      | code       | comment    | blank      | total      | comment rate |
+------------------+------------+------------+------------+------------+------------+--------------+
| JSON             |          4 |     28,823 |          0 |          2 |     28,825 |        0.00% |
| Python           |         81 |      1,672 |         47 |        680 |      2,399 |        2.73% |
| JavaScript       |         10 |        207 |          6 |         57 |        270 |        2.82% |
| YAML             |          2 |        156 |          0 |          4 |        160 |        0.00% |
| Ini              |          1 |         80 |          0 |         23 |        103 |        0.00% |
| CSS              |          3 |         48 |          0 |          9 |         57 |        0.00% |
| Markdown         |          2 |         39 |          0 |         34 |         73 |        0.00% |
| Docker           |          2 |         20 |          6 |         13 |         39 |       23.08% |
| HTML             |          1 |         20 |         23 |          1 |         44 |       53.49% |
| pip requirements |          1 |         11 |          1 |          2 |         14 |        8.33% |
| Ignore           |          2 |          9 |          0 |          2 |         11 |        0.00% |
+------------------+------------+------------+------------+------------+------------+--------------+

Directories
+--------------------------------------------------------+------------+------------+------------+------------+------------+--------------+
| path                                                   | files      | code       | comment    | blank      | total      | comment rate |
+--------------------------------------------------------+------------+------------+------------+------------+------------+--------------+
| .                                                      |        109 |     31,085 |         83 |        827 |     31,995 |        0.27% |
| frontend                                               |         20 |     29,059 |         29 |        110 |     29,198 |        0.10% |
| backend                                                |         87 |      1,999 |         54 |        713 |      2,766 |        2.63% |
| backend\app                                            |         76 |      1,694 |          3 |        644 |      2,341 |        0.18% |
| backend\app\common                                     |         20 |        338 |          0 |        149 |        487 |        0.00% |
| backend\app\database                                   |          3 |        260 |          0 |         26 |        286 |        0.00% |
| frontend\src                                           |         13 |        255 |          6 |         66 |        327 |        2.30% |
| backend\app\common\helpers                             |          5 |        224 |          0 |        106 |        330 |        0.00% |
| backend\app\hardware                                   |          7 |        220 |          0 |         55 |        275 |        0.00% |
| backend\app\services                                   |          7 |        219 |          0 |        102 |        321 |        0.00% |
| backend\app\hardware\camera                            |          4 |        188 |          0 |         45 |        233 |        0.00% |
| backend\app\crud                                       |          7 |        174 |          0 |         46 |        220 |        0.00% |
| frontend\src\components                                |          7 |        167 |          5 |         46 |        218 |        2.91% |
| backend\app\models                                     |          8 |        161 |          0 |         94 |        255 |        0.00% |
